Food,Age Group,Proportion (%),CI Low (%),CI High (%)
Cereal-based mixed dishes,Children 2–17 years,62.1,59.6,64.6
Cereal-based mixed dishes,Adults 18 years and over,49.5,48.2,50.8
Sweet biscuits,Children 2–17 years,25.2,22.9,27.5
Sweet biscuits,Adults 18 years and over,16.2,15.1,17.3
Savoury biscuits,Children 2–17 years,23.5,21.2,25.8
Savoury biscuits,Adults 18 years and over,11.9,11.0,12.8
Cake-type desserts,Children 2–17 years,16.2,13.9,18.5
Cake-type desserts,Adults 18 years and over,11.5,10.7,12.3
Pastries,Children 2–17 years,12.1,10.1,14.1
Pastries,Adults 18 years and over,13.1,12.2,14.0
Batter-based products,Children 2–17 years,9.2,7.5,10.9
Batter-based products,Adults 18 years and over,4.6,3.9,5.3

