Year,Livestock_Product,Value
2020-21,Cattle & Calves,12340.7
2021-22,Cattle & Calves,14208.7
2022-23,Cattle & Calves,13869.6
2023-24,Cattle & Calves,12792.3
2024-25,Cattle & Calves,17109.5
2020-21,Milk,4688.0
2021-22,Milk,4871.9
2022-23,Milk,6081.6
2023-24,Milk,6237.3
2024-25,Milk,5968.3
2020-21,Sheep & Lambs,3973.4
2021-22,Sheep & Lambs,4529.9
2022-23,Sheep & Lambs,4118.9
2023-24,Sheep & Lambs,3721.9
2024-25,Sheep & Lambs,5125.9
2020-21,Poultry,2884.7
2021-22,Poultry,3134.8
2022-23,Poultry,3626.3
2023-24,Poultry,4015.9
2024-25,Poultry,4104.1
2020-21,Wool,2516.8
2021-22,Wool,3081.8
2022-23,Wool,2983.2
2023-24,Wool,2744.9
2024-25,Wool,2277.6
2020-21,Pigs,1421.2
2021-22,Pigs,1429.2
2022-23,Pigs,1526.3
2023-24,Pigs,1674.3
2024-25,Pigs,1843.8
